Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
533,533,0,ff5e,0,000002fc,00000000
534,534,0,ff5e,0,000002fc,20000004
535,535,0,ff5e,0,00000300,4811b51f
536,536,0,ff5e,0,00000300,00000000
537,537,0,ff5e,0,00000300,20000004
538,538,0,ff5e,0,1ffffff8,00000000
539,539,0,ff5e,0,1ffffffc,00000000
540,540,0,ff5e,0,1ffffffc,00000000
541,541,0,ff5e,0,1ffffffc,00000000
542,542,0,ff5e,0,000002bc,00000000
543,543,0,ff5e,0,000002c0,00000000
544,544,0,ff5e,0,000002c0,47706108
545,545,0,ff5e,0,000002c4,21e0f04f
546,546,0,ff5e,0,000002c8,47706148
547,547,0,ff5e,0,000002c8,00000000
548,548,0,ff5e,0,000002c8,00000000
549,549,0,ff5e,0,000003a8,00000000
550,550,0,ff5e,0,000003ac,f7ff4610
551,551,0,ff5e,0,000003b0,2000ff89
552,552,0,ff5e,0,000003b0,00000000
553,553,0,ff5e,0,000002c0,ff8af7ff
554,554,0,ff5e,0,000002c4,21e0f04f
555,555,0,ff5e,0,000002c8,47706148
556,556,0,ff5e,0,000002cc,21e0f04f
557,557,0,ff5e,0,000002d0,47706188
558,558,0,ff5e,0,000003ac,00000000
559,559,0,ff5e,0,000003b0,2000ff89
560,560,0,ff5e,0,000003b4,ff8af7ff
561,561,0,ff5e,0,000003b4,00000000
562,562,0,ff5e,0,000002c8,f7ff2007
563,563,0,ff5e,0,000002cc,21e0f04f
564,564,0,ff5e,0,000002d0,47706188
565,565,0,ff5e,0,000002d4,2000b510
566,566,0,ff5e,0,000002d8,fff0f7ff
567,567,0,ff5e,0,000003b4,00000000
568,568,0,ff5e,0,000003b8,f7ff2007
569,569,0,ff5e,0,000003bc,bf30ff7f
570,570,0,ff5e,0,000003bc,00000000
571,571,0,ff5e,0,000002b8,b530bd00
572,572,0,ff5e,0,000002bc,21e0f04f
573,573,0,ff5e,0,000002c0,47706108
574,574,0,ff5e,0,000002c4,21e0f04f
575,575,0,ff5e,0,000002c8,47706148
576,576,0,ff5e,0,000003b8,00000000
577,577,0,ff5e,0,000003bc,bf30ff7f
578,578,0,ff5e,0,000003c0,b530bd00
579,579,0,ff5e,0,000003c0,00000000
580,580,0,ff5e,0,000003c4,25004604
581,581,0,ff5e,0,000003c8,f44fe005
582,582,0,ff5e,0,000003c8,00000000
583,583,0,ff5e,0,000003c8,00000000
